DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-03 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2815.41	2022-01-03 14:00:58
2022-01-03 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2832.64	2022-01-03 15:00:55
2022-01-03 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2835.92	2022-01-03 16:00:52
2022-01-03 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2860.26	2022-01-03 17:00:51
2022-01-03 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2835.01	2022-01-03 18:00:53
2022-01-03 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2831.46	2022-01-03 19:00:55
2022-01-03 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2809.63	2022-01-03 20:00:57
2022-01-03 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2769.83	2022-01-03 21:00:51
2022-01-03 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2758.73	2022-01-03 22:00:56
2022-01-03 20:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2729.73	2022-01-03 23:01:02
2022-01-03 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2685.41	2022-01-04 03:00:52
2022-01-03 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2636.79	2022-01-04 03:00:52
2022-01-03 23:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2569.17	2022-01-04 03:00:52
2022-01-04 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2564.46	2022-01-04 03:00:52
2022-01-04 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2550.83	2022-01-04 04:00:53
2022-01-04 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2533.44	2022-01-04 05:00:55
2022-01-04 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2511.16	2022-01-04 06:00:57
2022-01-04 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2550.62	2022-01-04 07:00:56
2022-01-04 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2628.43	2022-01-04 08:00:58
2022-01-04 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2732.19	2022-01-04 09:01:19
2022-01-04 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2754.4	2022-01-04 10:01:16
2022-01-04 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2819.27	2022-01-04 11:01:01
2022-01-04 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2759.57	2022-01-04 12:01:00
2022-01-04 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2785.62	2022-01-04 13:00:55
2022-01-04 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2784.32	2022-01-04 14:01:04
2022-01-04 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2837.0	2022-01-04 15:01:03
2022-01-04 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2881.76	2022-01-04 16:00:57
2022-01-04 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2916.98	2022-01-04 17:00:52
2022-01-04 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2884.1	2022-01-04 18:00:51
2022-01-04 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2798.54	2022-01-04 19:00:53
2022-01-04 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2772.18	2022-01-04 20:00:53
2022-01-04 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2762.24	2022-01-04 21:00:51
